Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,Autenticacao,TipoVeiculo,SiglaCombustivel,DataConsulta
"R$ 334.681,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,Diesel,060007-5,outubro de 2023 ,qzqzf939fjdm9,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 310.153,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2021,Diesel,060007-5,outubro de 2023 ,p1zgc6bg2xdj2,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 285.732,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2020,Diesel,060007-5,outubro de 2023 ,n4btwjgfgjdfv,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 229.491,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2019,Diesel,060007-5,outubro de 2023 ,l0dmz9pk3xdbm,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 191.722,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2018,Diesel,060007-5,outubro de 2023 ,kk3vkkrwg7c7d,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 150.166,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2017,Diesel,060007-5,outubro de 2023 ,h0dd217m7zc35,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 134.710,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2016,Diesel,060007-5,outubro de 2023 ,hd8myrml4pc0y,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 122.884,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2015,Diesel,060007-5,outubro de 2023 ,gzdsx813lycxq,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 112.950,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2014,Diesel,060007-5,outubro de 2023 ,glrqq9k28qcth,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 103.890,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2013,Diesel,060007-5,outubro de 2023 ,f74fbm4jrlcp8,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 96.840,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2012,Diesel,060007-5,outubro de 2023 ,chyrt4hjmkvks,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 82.321,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2011,Diesel,060007-5,outubro de 2023 ,cbgjmf5n252gk,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 66.573,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2010,Diesel,060007-5,outubro de 2023 ,4hwpx39b72cb,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 60.450,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2009,Diesel,060007-5,outubro de 2023 ,1525nzdx8g9c,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 55.959,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2008,Diesel,060007-5,outubro de 2023 ,0hft1414x354,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 52.224,00",Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,2007,Diesel,060007-5,outubro de 2023 ,y2m8qvjvmp2x,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 359.145,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,Diesel,060008-3,outubro de 2023 ,rxd5dyx85wdm9,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 338.815,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2021,Diesel,060008-3,outubro de 2023 ,q4k7glmxyzdj2,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 324.512,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2020,Diesel,060008-3,outubro de 2023 ,qltcgxqv9sdfv,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 252.143,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2019,Diesel,060008-3,outubro de 2023 ,mvyy8tdvr1dbm,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 206.134,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2018,Diesel,060008-3,outubro de 2023 ,k30pcj616gc7d,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 158.409,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2017,Diesel,060008-3,outubro de 2023 ,h910ycx876c35,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 142.139,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2016,Diesel,060008-3,outubro de 2023 ,hpznmh0wxsc0y,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 133.549,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2015,Diesel,060008-3,outubro de 2023 ,hcxfspd4r7cxq,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 125.539,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2014,Diesel,060008-3,outubro de 2023 ,g2h9gx0jw1cth,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
"R$ 114.826,00",Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,2013,Diesel,060008-3,outubro de 2023 ,gnyxjxnmrrcp8,1,D,"segunda-feira, 16 de outubro de 2023 16:19"
