Label,Value,codigo_tabela_referencia,codigo_fipe,ano_modelo,codigo_tipo_combustivel
2015 Gasolina,2015-1,302,008008-0,2015,1
2008 Gasolina,2008-1,302,008008-0,2008,1
2007 Gasolina,2007-1,302,008008-0,2007,1
2006 Gasolina,2006-1,302,008008-0,2006,1
2005 Gasolina,2005-1,302,008008-0,2005,1
2004 Gasolina,2004-1,302,008008-0,2004,1
2003 Gasolina,2003-1,302,008008-0,2003,1
2002 Gasolina,2002-1,302,008008-0,2002,1
2001 Gasolina,2001-1,302,008008-0,2001,1
2000 Gasolina,2000-1,302,008008-0,2000,1
1999 Gasolina,1999-1,302,008008-0,1999,1
1998 Gasolina,1998-1,302,008008-0,1998,1
1997 Gasolina,1997-1,302,008008-0,1997,1
1996 Gasolina,1996-1,302,008008-0,1996,1
1995 Gasolina,1995-1,302,008008-0,1995,1
