code,car_models
009101-4,X3 Family 3.0 24V 231cv
009102-2,545iA 4.4 32V V8 333cv
009103-0,645iA 4.4 V8 32V 333cv
009104-9,X3 Family 2.5 24V 192cv/ 218cv
009105-7,120iA 2.0 16V 150cv/ 156cv 5p
009106-5,120i 2.0 16V 150cv/ 156cv 5p
009107-3,X5 4.8 4x4 V8 32V 360cv
009108-1,M6 5.0 V10 40V 507cv
009109-0,130i 3.0 24V 265cv 5p
009110-3,550iA 4.8 32V
009111-1,645Ci Cabriolet 4.4 V8 32V 333cv
009112-0,325iA Touring
009113-8,330iA Exclusive 3.0 24V 4p
009114-6,650iA 4.8 V8 32V 360cv
009115-4,650Ci Cabriolet 4.8 V8 32V 360cv
009116-2,Z4 Roadster 2.0 150cv 2p
009117-0,130iA 3.0 24V 265cv 5p
009118-9,X3 Sport 2.5 24V 192cv/ 218cv
009119-7,X5 Security 4.4 4x4 V8 32V
009120-0,Z4 Roadster M 3.2 V6 24V 343cv
009121-9,Z4 Coupé M 3.2 V6 24V 343cv
009122-7,335iA 3.0 24V 306cv
009123-5,X5 Sport 4.8 4x4 V8 32V 355cv
009124-3,335iA Cabriolet 3.0 24V 306cv
009125-1,550iA Security 4.8 32V
009126-0,130iA 3.0 24V 265cv 3p
009127-8,M3 Coupê 4.0 32V
009128-6,X5 Endurance 4.8is 4x4 V8 32V 355cv Aut.
009129-4,120iA 2.0 16V 156cv 3p
009130-8,120iA Cabrio 2.0 16V 156cv 2p
009131-6,X6 XDRIVE 35i 3.0 306cv Bi-Turbo
009132-4,X6 XDRIVE 50i 4.4 407cv Bi-Turbo
009133-2,M3 Sedan 4.0 32V
009134-0,M3 Cabrio 4.0 32V
009135-9,135iA Coupé 3.0 24V 306cv
009136-7,118iA 2.0 16V 136cv 5p
009137-5,550iA Limited Sport Edition 4.8 32V
009138-3,Z4 Roadster sDRIVE 23i 2.5 24V 204cv 2p
009139-1,Z4 Roadster sDRIVE 35i 3.0 24V 306cv 2p
009140-5,X5 Security 4.8is 4x4 V8 32V 355cv Aut.
009141-3,650iA Limited Sport Edition 4.8 32V
009142-1,X1 XDRIVE 28i 3.0 24V 4x4 Aut.
009143-0,X5 M 4.4 4x4 V8 32V Bi-Turbo Aut.
009144-8,X6 M 4.4 4x4 V8 32V Bi-Turbo Aut.
009145-6,X1 SDRIVE 18i 2.0 16V 4x2 Aut.
009146-4,535iA 3.0 24V 306cv Bi-Turbo
009147-2,550iA 4.4 32V 407cv Bi-Turbo
009148-0,535iA GT 3.0 306cv Bi-Turbo
009149-9,X5 XDRIVE 35i 3.0 306cv Bi-Turbo
009150-2,X5 XDRIVE 50i 4.4 Bi-Turbo
009151-0,X3 XDRIVE 35i/M-Sport 3.0 306cv Bi-Turbo
009152-9,118iA 2.0 16V 136cv 3p
009153-7,X5 XDRIVE 50i Security 4.4 Bi-Turbo
009154-5,750iLA 4.4 Active 7 (Híbrido)
009155-3,318iA 2.0 16V 136cv 5p
009156-1,X3 XDRIVE 28i 3.0 258cv
009157-0,M1 Coupe 3.0 24V 340cv
009158-8,650Ci Cabriolet 4.4 407cv Bi-Turbo
009159-6,118iA/ Urban/Sport 1.6 TB 16V 170cv 5p
009160-0,328iA 2.0 TB/2.0 TB Flex 16V 4p
009161-8,328iA Luxury/Modern 2.0 TB 16V 4p
009162-6,328iA Sport 2.0 16V/2.0 16V Flex 4p
009163-4,328iA Plus 2.0 TB 16V 245cv 4p
009164-2,320iA 2.0 Turbo/ActiveFlex 16V/GP 4p
009165-0,320iA Modern/Sport TB 2.0/A.Flex/GP 4p
009166-9,650iA 4.4 407cv Bi-Turbo
009167-7,X1 XDRIVE 28i 2.0 Turbo 16V 4x4 Aut.
009168-5,528iA 2.0 Turbo 16V 245cv 4p
009169-3,118iA Full 1.6 TB 16V 170cv 5p
009170-7,335iA Sport 3.0 24V 306cv 4p
009171-5,116iA 1.6 TB 16V 136cv 5p
009172-3,X1 SDRIVE 20i 2.0/2.0 TB Acti.Flex Aut.
009173-1,M5 4.4 560cv Bi-Turbo Aut.
009174-0,Z4 Roadster sDRIVE 20i 2.0 16V 2p Aut.
009175-8,X3 XDRIVE 28i 2.0 Turbo 245cv Aut.
009176-6,125i M Sport/Active Flex 2.0 TB Aut. 5p
009177-4,640i Gran Coupe 3.0 320cv 4p
009178-2,M 135i 3.0 TB 24V 320cv
